"","item_id","subj_id","sigma","T_0s","T_1s","SC","category","group","O_0i","RT","zRT","zSC","item_stim","sigma30RT","tau10RT"
"1395",14,1,60.9923914602086,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,-116.510742068241,675.748953464605,-0.496128104595101,-0.442136800330176,"ingroup",-0.892943525192874,-0.555678954536478
"1489",15,1,152.183696048699,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,6.6149456352723,890.065945756608,0.381368755301113,-0.442136800330176,"ingroup",0.308871069174758,0.635378941555388
"1526",16,1,-23.8352492464805,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,74.2063157724625,781.638370598619,-0.0625757761603175,-0.442136800330176,"ingroup",0.566624921514224,1.44168855776571
"1646",17,1,118.516333533576,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,-57.3415467950001,792.442090811213,-0.0183411568687581,-0.442136800330176,"ingroup",-1.71155272921374,-1.54130246928241
"1723",18,1,-243.116512494457,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,76.9919740150269,565.142765593206,-0.948992721181381,-0.442136800330176,"ingroup",0.546476920369611,0.599004581653175
"1804",19,1,-106.044424687963,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,123.670766560525,748.893645945199,-0.196645374442067,-0.442136800330176,"ingroup",-0.269252324909765,-0.388755951493712
"1971",20,1,86.9240104099329,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,-80.7810890884137,737.410225394156,-0.243662950447794,-0.442136800330176,"ingroup",-0.456498658826185,-1.16387310500227
"2074",21,1,-204.96559015408,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,44.5928682872463,570.894582205803,-0.925442553916174,-0.442136800330176,"ingroup",-0.172496553986626,-0.126962416240492
"2160",22,1,-234.668584976908,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,13.5025211176879,510.101240213417,-1.17435406639313,-0.442136800330176,"ingroup",-0.722066668018773,0.0655894565061618
"2261",23,1,105.420630375254,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,12.4207086641369,849.108643112028,0.213673678601499,-0.442136800330176,"ingroup",-0.613991590544704,-1.12227543140436
"2346",24,1,-0.65836481627718,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,189.421179096747,920.030118353106,0.504053695406055,-0.442136800330176,"ingroup",0.100544068261774,0.0899653777228603
"2422",25,1,-189.813540271083,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,-126.851553081307,414.602210720247,-1.56536411933945,-0.442136800330176,"ingroup",-0.409533549320606,-0.445391775238365
"2520",26,1,-113.765855161076,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,-88.2826807565328,604.852901512843,-0.786404028596257,-0.442136800330176,"outgroup",-0.0574173658954133,1.47179311504599
"2625",27,1,177.970761393107,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,72.2229646221591,1057.09516344572,1.06525113189503,-0.442136800330176,"outgroup",-0.504732353949001,-0.976204204394315
"2763",28,1,94.2153086605493,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,5.46546812453661,906.582214215538,0.448992761941554,-0.442136800330176,"outgroup",-1.07639873140089,-2.33184550743977
"2834",29,1,-126.394568759684,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,-91.9574360320999,588.549432638667,-0.853156751231579,-0.442136800330176,"outgroup",-0.776155731492007,-0.337189458740443
"2924",30,1,-75.4743235624807,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,-72.1019984376032,659.325115430368,-0.563373665240384,-0.442136800330176,"outgroup",-1.63353013334401,-2.32380294204408
"3011",31,1,-1.78264520418168,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,-95.8762819186885,709.242510307582,-0.358992496997437,-0.442136800330176,"outgroup",0.432374433618879,-0.110624905665941
"3200",32,1,-347.458383594357,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,-40.8131058840308,418.629947952064,-1.5488730015069,-0.442136800330176,"outgroup",0.39005719368821,0.499949451449051
"3229",33,1,490.724346752477,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,24.4997074911051,1322.12549167403,2.15038805132672,-0.442136800330176,"outgroup",-1.0968629393663,-0.713177496775338
"3343",34,1,144.827594903448,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,-5.43016221328216,946.298870120617,0.611608149874964,-0.442136800330176,"outgroup",-1.82867075411539,-1.29337601536037
"3490",35,1,-312.997711597143,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,29.7761940684048,523.679919901714,-1.11875768712059,-0.442136800330176,"outgroup",-1.1154847935679,-0.805151023984174
"3525",36,1,265.102612915494,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,91.559297737316,1163.56334808326,1.50117315888487,-0.442136800330176,"outgroup",-1.19944307693589,-0.713679069772974
"3631",37,1,-72.6295758586976,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,-115.168972291936,619.102889279819,-0.728059053774831,-0.442136800330176,"outgroup",-0.684683891392983,0.108018503106619
"3775",38,1,-33.4545707409807,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,-59.6326213855809,713.81424530389,-0.340274041402127,-0.442136800330176,"outgroup",-0.510601660263692,-0.205010661814958
"3805",39,1,-341.58174947338,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,-86.7408225184856,378.578865438586,-1.71285766163659,-0.442136800330176,"outgroup",0.717783150750635,1.53794315625775
"3995",40,1,-62.5017884657987,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,-72.9448367449811,671.454812219672,-0.513709983745614,-0.442136800330176,"outgroup",-1.73740090560304,-1.83894592033906
"4023",41,1,74.0199205762244,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,20.3579088405282,901.279266847204,0.427280439394738,-0.442136800330176,"outgroup",-0.944973501285058,0.0560076614315761
"4113",42,1,-123.228749557053,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,4.36342748552826,688.036115358927,-0.445819699909138,-0.442136800330176,"outgroup",-0.625663444307137,-0.564920671312559
"4290",43,1,-408.282627036009,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,69.5517462569344,468.170556651377,-1.34603454196112,-0.442136800330176,"outgroup",0.400046631113209,0.565964405431799
"4315",44,1,-65.4208729945679,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,-39.6657711036001,701.814793332284,-0.389404450115654,-0.442136800330176,"outgroup",-0.307143664043365,0.189961257535112
"4452",45,1,119.385438873053,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,63.1187164964245,989.405592799929,0.788103785554545,-0.442136800330176,"outgroup",-1.27349012698149,-0.229152762072328
"4549",46,1,-161.2883418667,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,-3.86222654470155,641.75086901905,-0.635329443809553,-0.442136800330176,"outgroup",-0.664018445317359,-0.936539550385289
"4678",47,1,-28.8117913791302,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,22.7553183041184,800.84496435544,0.0160634653233916,-0.442136800330176,"outgroup",0.168917109838191,0.112686293652603
"4737",48,1,214.071338233351,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,-187.593046588392,833.379729075411,0.149273406233436,-0.442136800330176,"outgroup",-1.17832346663648,-0.224047749174047
"4900",49,1,270.734068630249,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,28.1711895984398,1105.80669565914,1.26469503086396,-0.442136800330176,"outgroup",-0.218391732573642,-0.170265863564359
"4979",50,1,357.489732605124,-15.9614351045257,5.81706667890757,-0.455683449415103,"outgroup",1,-58.9367435143256,1105.45442652125,1.26325270443416,-0.442136800330176,"outgroup",-0.329693210072514,-0.911959521506678
"42",1,2,146.406553377838,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,-16.9466882707156,985.726212690911,0.773038976845263,-1.98799194611409,"ingroup",0.740176121149056,1.23134441826805
"144",2,2,-133.265785996374,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,-83.3272906986877,639.673270888727,-0.643835936066598,-1.98799194611409,"ingroup",1.1623354541819,2.3957185978733
"251",3,2,19.4751621587659,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,-92.2646045815358,783.476905161019,-0.0550481028383684,-1.98799194611409,"ingroup",-2.48625154977903,-1.44144715441875
"312",4,2,31.3769143718025,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,25.7225198114996,913.365781767091,0.476767317573948,-1.98799194611409,"ingroup",0.53323865011729,0.80244576252152
"482",5,2,100.636964768846,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,-120.010390076352,836.892922276283,0.16365778130797,-1.98799194611409,"ingroup",0.508427991172066,0.858141110036626
"507",6,2,230.831982407586,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,-35.6426608797863,1051.45566911159,1.04216085558666,-1.98799194611409,"ingroup",0.213613678987651,-0.396490943963857
"603",7,2,230.109512936728,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,138.723634606007,1225.09949512652,1.75312600323518,-1.98799194611409,"ingroup",-0.731721291928011,-1.22533156633179
"719",8,2,-311.786333625637,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,40.9036492610764,585.383663219228,-0.866118638644262,-1.98799194611409,"ingroup",-0.947875959373563,0.0864314656114474
"875",9,2,117.991525055832,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,7.97160292426665,982.229475563887,0.758721979317294,-1.98799194611409,"ingroup",-0.750049250073087,-1.16721670089322
"995",10,2,-274.008332691735,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,-4.63128883170157,577.626726060352,-0.897878546836944,-1.98799194611409,"ingroup",-0.535748508459838,-1.1751739888407
"1035",11,2,17.9745737650171,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,-139.42301032029,734.817911028516,-0.254276890534325,-1.98799194611409,"ingroup",0.802768689845712,1.40301712822887
"1166",12,2,226.979558540951,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,-105.996238655511,977.249667469228,0.738332714242153,-1.98799194611409,"ingroup",0.0857813801708679,-0.473992318722307
"1202",13,2,178.101480802478,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,-43.8347105227959,990.533117863471,0.792720310320646,-1.98799194611409,"ingroup",0.396644927688388,0.934785687891597
"1377",14,2,209.878095725471,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,-116.510742068241,949.633701241019,0.625262241438779,-1.98799194611409,"ingroup",-0.339944444683384,0.384028679441669
"1432",15,2,-126.233360772024,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,6.6149456352723,736.647932447037,-0.246784073324072,-1.98799194611409,"ingroup",-1.2479617378498,-0.566260210387289
"1534",16,2,-26.0605898595463,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,74.2063157724625,904.412073496705,0.4401073644472,-1.98799194611409,"ingroup",-0.723652983850586,-1.17266267097126
"1670",17,2,425.790918950956,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,-57.3415467950001,1224.71571973975,1.75155467800705,-1.98799194611409,"ingroup",0.168700079281267,-0.746338133410571
"1764",18,2,-64.2246213863452,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,76.9919740150269,869.03370021247,0.295254587571466,-1.98799194611409,"ingroup",-1.21451802860961,-0.610876402977139
"1893",19,2,-16.6300461675525,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,123.670766560525,963.307067976761,0.681246306194951,-1.98799194611409,"ingroup",-1.05044471459089,-1.13238255390108
"1907",20,2,94.9421461980745,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,-80.7810890884137,870.427404693449,0.300960954073737,-1.98799194611409,"ingroup",-1.91243163303389,-1.88228095852819
"2047",21,2,-140.642932774829,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,44.5928682872463,760.216283096206,-0.150286108013881,-1.98799194611409,"ingroup",-0.29990167542008,-0.956243725143955
"2103",22,2,-102.696435672135,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,13.5025211176879,767.072433029342,-0.122214371970164,-1.98799194611409,"ingroup",-0.360405108820816,-0.751848469704378
"2202",23,2,-138.252704217299,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,12.4207086641369,730.434352030626,-0.272224880633856,-1.98799194611409,"ingroup",-1.24943663655786,-0.562544673862994
"2304",24,2,180.40745837736,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,189.421179096747,1226.0949850579,1.75720192497846,-1.98799194611409,"ingroup",-0.775946526042221,-0.783769433567947
"2500",25,2,-80.0826980028339,-41.2200352759249,-61.7394642892756,-1.95014286939802,"ingroup",-1,-126.851553081307,649.332096499648,-0.604288959164642,-1.98799194611409,"ingroup",-1.21177272926521,-0.972117798790425
"2503",26,2,339.952878812981,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,-88.2826807565328,1048.45761706169,1.02988566811104,-1.98799194611409,"outgroup",-0.800984943746863,-1.58369243803368
"2649",27,2,-102.976634313501,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,72.2229646221591,766.033749313896,-0.126467145812227,-1.98799194611409,"outgroup",-1.10730305763217,-1.21117516085905
"2779",28,2,-95.3994185685454,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,5.46546812453661,706.853468561229,-0.3687741601692,-1.98799194611409,"outgroup",0.24963562625317,1.49064581164675
"2827",29,2,-301.051886889232,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,-91.9574360320999,403.778096083905,-1.60968224130902,-1.98799194611409,"outgroup",0.575194191952742,1.56503677376141
"2989",30,2,-274.450875139308,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,-72.1019984376032,450.234545428326,-1.41947152593039,-1.98799194611409,"outgroup",0.551629328691825,0.910619008462552
"3042",31,2,36.5226757586193,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,-95.8762819186885,737.433812845168,-0.243566374278191,-1.98799194611409,"outgroup",0.120211565432943,1.88919278575892
"3188",32,2,-111.584953111999,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,-40.8131058840308,644.389360009207,-0.624526438718979,-1.98799194611409,"outgroup",-1.55807444312236,-0.980433721634776
"3202",33,2,52.9588049206992,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,24.4997074911051,874.245931417042,0.316595482972019,-1.98799194611409,"outgroup",-0.00533780649465271,0.73648626049573
"3309",34,2,-287.959653296914,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,-5.43016221328216,503.397603495041,-1.20180135420429,-1.98799194611409,"outgroup",-0.814050976732311,0.316961612199445
"3472",35,2,-203.246412737261,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,29.7761940684048,623.317200336382,-0.710804030366694,-1.98799194611409,"outgroup",-0.569140235422243,-1.04710694810365
"3590",36,2,-9.98314710270882,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,91.559297737316,878.363569639845,0.333454690317441,-1.98799194611409,"outgroup",-1.40542544959147,-0.624583860542815
"3638",37,2,-144.039144027815,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,-115.168972291936,537.579302685486,-1.06184822503446,-1.98799194611409,"outgroup",-2.25956535006598,-1.30342727398451
"3800",38,2,106.178031703783,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,-59.6326213855809,843.332829323439,0.19002525759377,-1.98799194611409,"outgroup",1.07303260301235,1.36202927885606
"3878",39,2,38.7100819646594,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,-86.7408225184856,748.756678451411,-0.197206172465693,-1.98799194611409,"outgroup",0.342309975331597,0.429017907834037
"3971",40,2,7.21545804717645,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,-72.9448367449811,731.058040307433,-0.269671259016648,-1.98799194611409,"outgroup",-0.89210499760437,-0.536372930043497
"4026",41,2,-190.688538323133,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,20.3579088405282,626.456789522632,-0.6979493349791,-1.98799194611409,"outgroup",1.12709375397507,1.42391070303207
"4186",42,2,4.88787118304072,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,4.36342748552826,806.038717673806,0.0373287050937063,-1.98799194611409,"outgroup",-0.237809595280634,0.494940437968163
"4300",43,2,-29.8573401719394,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,69.5517462569344,836.481825090232,0.161974590040617,-1.98799194611409,"outgroup",-0.205986377741978,-0.194800143704461
"4366",44,2,-97.006857113834,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,-39.6657711036001,660.114790787803,-0.560140428159757,-1.98799194611409,"outgroup",0.993343598966993,1.32184393768266
"4419",45,2,147.123608471374,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,63.1187164964245,1007.02974397304,0.860263893567195,-1.98799194611409,"outgroup",0.740273650595662,0.438237149564323
"4528",46,2,-118.747797393765,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,-3.86222654470155,674.177395066771,-0.502562673989223,-1.98799194611409,"outgroup",-0.422836491455326,-0.33764207487547
"4677",47,2,180.346346485885,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,22.7553183041184,999.88908379524,0.831027262273564,-1.98799194611409,"outgroup",-0.803310333283998,-0.0213448519327966
"4746",48,2,-118.278539476005,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,-187.593046588392,490.91583294084,-1.25290656219607,-1.98799194611409,"outgroup",-0.223205596782769,0.676185119791848
"4890",49,2,-177.498828336333,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,28.1711895984398,647.459780267344,-0.611954947740765,-1.98799194611409,"outgroup",0.152534628316692,0.44924987741447
"4931",50,2,-213.572792024217,-41.2200352759249,-61.7394642892756,-1.95014286939802,"outgroup",1,-58.9367435143256,524.277883466695,-1.1163093924474,-1.98799194611409,"outgroup",-0.891752333874502,-1.07190456769514
"3",1,3,261.688270108968,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,-16.9466882707156,1174.23979575316,1.54488667504144,1.08239678422372,"ingroup",1.85465879194059,1.49948451509893
"186",2,3,11.5473636431288,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,-83.3272906986877,857.718286859353,0.2489248981726,1.08239678422372,"ingroup",0.956963701424538,0.275021960034139
"261",3,3,-461.645583991819,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,-92.2646045815358,375.588025341557,-1.72510332058097,1.08239678422372,"ingroup",0.739306867817554,0.867166754320441
"400",4,3,-367.003126031936,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,25.7225198114996,588.217607694476,-0.854515371205896,1.08239678422372,"ingroup",2.33448745752513,2.1429624281995
"493",5,3,-25.6396905714966,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,-120.010390076352,783.848133267064,-0.0535281510423121,1.08239678422372,"ingroup",0.540375471505189,-0.0533801833484733
"553",6,3,-173.725234627194,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,-35.6426608797863,720.130318407932,-0.314413589291451,1.08239678422372,"ingroup",1.11675283177013,0.356932290052577
"609",7,3,-131.131904604775,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,138.723634606007,937.089943916144,0.57390323557479,1.08239678422372,"ingroup",-0.0288276729258141,0.328279705007733
"704",8,3,-105.098986572633,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,40.9036492610764,865.302876603355,0.279979149227481,1.08239678422372,"ingroup",-0.731683368306763,-0.350529373659111
"845",9,3,225.468096596574,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,7.97160292426665,1162.93791343575,1.49861238694891,1.08239678422372,"ingroup",0.592111273561605,-0.110972864650907
"905",10,3,-134.382889063022,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,-4.63128883170157,790.484036020188,-0.026358192346224,1.08239678422372,"ingroup",0.727478664614394,1.68196122950851
"1075",11,3,272.750089070129,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,-139.42301032029,1062.82529266475,1.08871250256251,1.08239678422372,"ingroup",-0.371174270076959,-0.490251785503913
"1128",12,3,-137.265261678824,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,-105.996238655511,686.236713580577,-0.453187148440902,1.08239678422372,"ingroup",0.865626053740874,0.835941634316117
"1277",13,3,62.4599861413435,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,-43.8347105227959,948.12348953346,0.619078849179542,1.08239678422372,"ingroup",-0.0543580015409063,0.534716082498051
"1324",14,3,255.737682788852,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,-116.510742068241,1068.72515463552,1.11286882492317,1.08239678422372,"ingroup",1.56974668996529,1.16890173633929
"1431",15,3,31.2798751335068,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,6.6149456352723,967.393034683691,0.697975838074936,1.08239678422372,"ingroup",1.66359574869952,1.50320885842781
"1571",16,3,498.260607748204,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,74.2063157724625,1501.96513743558,2.88672128721682,1.08239678422372,"ingroup",0.0703682719159799,0.222782289142667
"1684",17,3,-285.988728442225,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,-57.3415467950001,586.167938677687,-0.862907510843651,1.08239678422372,"ingroup",1.04664938469531,0.550974174381555
"1754",18,3,-124.171546044518,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,76.9919740150269,882.318641885421,0.349648289523179,1.08239678422372,"ingroup",-0.206126133996893,1.07185835319193
"1895",19,3,-226.797050894232,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,123.670766560525,826.371929581205,0.120580758090218,1.08239678422372,"ingroup",-0.327361583088283,-0.110161582122135
"1982",20,3,228.92724739113,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,-80.7810890884137,1077.64437221763,1.14938755979961,1.08239678422372,"ingroup",-0.609239942066361,-1.07381516957252
"2057",21,3,147.964419019332,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,44.5928682872463,1122.05550122149,1.331223940707,1.08239678422372,"ingroup",0.0950561538853808,-0.843797625081226
"2151",22,3,282.496469799722,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,13.5025211176879,1225.49720483232,1.75475438096788,1.08239678422372,"ingroup",0.317029172575703,1.01593079572167
"2298",23,3,281.224704262553,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,12.4207086641369,1223.1436268416,1.74511792016143,1.08239678422372,"ingroup",1.63789756036145,1.1765427595688
"2383",24,3,-23.3895149657899,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,189.421179096747,1095.52987804587,1.22261775510094,1.08239678422372,"ingroup",-1.04200614959927,-0.975894749734168
"2498",25,3,-451.6162638889,133.539752740547,25.7691196324984,1.01816329665988,"ingroup",-1,-126.851553081307,351.030396944705,-1.82565177254588,1.08239678422372,"ingroup",-0.427803650090193,-0.363911208078482
"2588",26,3,-160.589844284209,133.539752740547,25.7691196324984,1.01816329665988,"outgroup",1,-88.2826807565328,796.163928139167,-0.00310251184394142,1.08239678422372,"outgroup",1.07582880000016,0.214604405944501
"2610",27,3,504.477817885996,133.539752740547,25.7691196324984,1.01816329665988,"outgroup",1,72.2229646221591,1621.73723568806,3.37711469464454,1.08239678422372,"outgroup",1.00567609002648,0.683702740701836
"2727",28,3,-357.046427586098,133.539752740547,25.7691196324984,1.01816329665988,"outgroup",1,5.46546812453661,693.455493718347,-0.423630663743021,1.08239678422372,"outgroup",1.36865484537672,0.843573273017075
"2807",29,3,144.638839786666,133.539752740547,25.7691196324984,1.01816329665988,"outgroup",1,-91.9574360320999,1097.71785693448,1.23157618897843,1.08239678422372,"outgroup",0.587588079588327,-0.06199652935444
"2925",30,3,-341.181859556048,133.539752740547,25.7691196324984,1.01816329665988,"outgroup",1,-72.1019984376032,631.752595186257,-0.67626625334029,1.08239678422372,"outgroup",-0.401963489114003,-0.71625120732613
